TransactionDate,GroupCostPrice,GroupQuantity
05/11/20,42572.49,19.31
05/12/20,22827.76,10.41
05/13/20,31114.58,14.2
05/14/20,35593.24,16.19
05/15/20,0,0
05/16/20,34651.55,15.83
05/17/20,37888.93,17.26
05/18/20,22438.43,10.18
05/19/20,20600.15,9.342
05/20/20,43235.37,19.66
05/21/20,28834.85,13.1
05/22/20,0,0
05/23/20,0,0
05/24/20,0,0
05/25/20,0,0
05/26/20,0,0
05/27/20,0,0
05/28/20,103667.9,47.83
05/29/20,0,0
05/30/20,155042.1,70.9
05/31/20,97867.2,46.84
06/01/20,196150,95.47
06/02/20,157902,76.16
06/03/20,189603.5,92.67
06/04/20,81951.83,39.56
06/05/20,0,0
06/06/20,220800.2,108.7
06/07/20,136095.1,65.31
06/08/20,95973.62,47.21
06/09/20,148766.6,72.39
06/10/20,190952.1,92.65
06/11/20,104004.8,51.88
06/12/20,0,0
06/13/20,189938.6,95.12
06/14/20,161992.2,80.16
06/15/20,126057,62.89
06/16/20,78200.6,39
06/17/20,225773.9,112.5
06/18/20,117891.8,57.73
06/19/20,0,0
06/20/20,88131.7,43.67
06/21/20,198177.2,97.67
06/22/20,335125,166.1
06/23/20,204708.5,100.8
06/24/20,150539.6,74.34
06/25/20,150141,74.39
06/26/20,0,0
06/27/20,280687.9,140.9
06/28/20,196420.3,97.1
06/29/20,189794.3,92.89
06/30/20,296003,143.7
07/01/20,5699.732,2.666
07/02/20,21864.45,9.736
07/03/20,0,0
07/04/20,43638.27,20.42
07/05/20,37321.59,17.73
07/06/20,27608.14,12.49
07/07/20,31055.24,14.95
07/08/20,40504.93,19.1
07/09/20,39641.29,19.07
07/10/20,0,0
07/11/20,47763.17,21.69
07/12/20,33885.44,15.73
07/13/20,56620.82,26.88
07/14/20,29708.19,13.97
07/15/20,22869.08,11.07
07/16/20,17438.82,8.154
07/17/20,0,0
07/18/20,19461.16,8.796
07/19/20,15473.63,7.171
07/20/20,7983.952,3.777
07/21/20,12499.41,5.851
07/22/20,22855.52,10.26
07/23/20,18031.61,7.981
07/24/20,0,0
07/25/20,18134.37,8.235
07/26/20,17663.46,8.006
07/27/20,8155.042,3.758
